t_offset_s,vibration_g,current_a,pressure_bar,temp_motor_c,temp_fluid_c,flow_lpm,label
219,0.2409,2.0518,0.0547,85.7541,29.1522,121.0,
220,0.2422,2.7812,0.3826,85.7688,29.1443,120.31,
221,0.2421,2.7484,0.0547,85.4919,29.1413,120.692,
222,0.2435,2.3943,0.0547,85.836,29.1485,121.692,
223,0.2386,2.7077,0.0547,85.8416,29.1442,122.0,
224,0.2431,2.0434,0.3826,85.5672,29.1448,121.31,
225,0.2424,2.7571,0.0547,85.7688,29.1362,121.692,
226,0.2458,2.9491,0.0547,85.3084,29.1323,122.0,
227,0.2433,2.1353,0.0547,85.7906,29.1323,121.31,
228,0.2453,1.7468,0.3826,85.9661,29.1299,122.385,
229,0.2434,1.7089,0.0547,85.8461,29.1223,122.31,
230,0.243,3.1068,-0.2732,85.8216,29.1268,122.692,
231,0.2457,2.6855,0.3826,85.223,29.1162,121.622,
232,0.2441,2.2958,0.0547,85.6609,29.1169,122.385,
233,0.2457,2.6301,0.0547,85.6707,29.1146,123.692,
234,0.2444,2.2907,0.0547,85.1113,29.0997,124.692,
235,0.2419,2.6372,0.0547,85.2393,29.0997,124.31,
236,0.2449,2.5252,0.0547,85.2604,29.0961,124.0,
237,0.2445,2.3006,0.3826,85.8067,29.0944,125.0,
238,0.2487,2.8292,-0.2732,85.2599,29.0904,125.0,
239,0.2431,1.475,-0.6011,85.5451,29.0962,124.31,
240,0.245,2.7958,0.3826,85.1013,29.0984,124.0,
241,0.2448,2.6965,0.0547,85.3415,29.0799,125.385,
242,0.2461,2.7732,0.0547,85.2786,29.0893,124.622,
243,0.2453,2.2196,0.0547,85.2358,29.0892,124.0,
244,0.2434,2.5797,0.0547,85.2417,29.0892,124.0,
245,0.2495,2.7211,-0.2732,85.2495,29.0898,124.692,
246,0.2484,2.7206,0.0547,85.2096,29.0898,125.0,
247,0.2447,0.9816,0.0547,85.2841,29.0879,124.31,
248,0.2431,2.5698,0.0547,85.1175,29.0935,124.692,
249,0.2429,2.6686,0.0547,85.224,29.0946,125.0,
250,0.2482,2.3028,-0.6011,85.1595,29.0804,125.0,
251,0.244,2.7048,0.7106,85.2565,29.0824,125.0,
252,0.241,2.6434,0.0547,85.1958,29.088,125.0,
253,0.2435,3.0696,0.0547,85.203,29.088,125.0,
254,0.244,2.9972,-0.2732,85.3502,29.0761,125.0,
255,0.2452,2.8837,-0.2732,85.1336,29.0776,125.0,
256,0.2422,2.6947,0.3826,85.2269,29.0825,123.622,
257,0.2437,2.7765,0.0547,85.2086,29.0732,123.692,
258,0.2443,2.6809,0.0547,85.5126,29.0776,124.0,
259,0.245,1.3939,-0.6011,85.6437,29.0577,124.0,
260,0.2463,2.978,0.3826,85.2656,29.0616,124.0,
261,0.2438,2.6243,0.3826,85.5829,29.0616,124.0,
262,0.2428,1.2288,0.0547,85.5048,29.0516,124.0,
263,0.2461,1.3459,0.3826,85.2609,29.0498,124.0,
264,0.2441,2.6135,0.0547,85.6142,29.0419,124.0,
265,0.2467,2.7089,-0.2732,84.9816,29.0437,124.692,
266,0.2447,2.4768,0.0547,85.1544,29.0369,123.622,
267,0.246,3.1487,-0.2732,85.7299,29.0306,123.0,
268,0.2447,2.7488,0.0547,85.6147,29.0198,124.385,
269,0.2437,3.1721,0.0547,85.6123,29.0099,124.31,
270,0.2447,2.6778,0.0547,85.6483,29.0099,124.0,
271,0.2434,1.0022,0.0547,85.7801,29.0157,124.0,
272,0.2451,2.2603,0.0547,85.7618,29.0014,124.0,
273,0.2478,1.0279,-0.2732,85.6891,28.9928,124.0,
274,0.2465,2.6935,0.0547,85.7826,28.9964,124.0,
275,0.2463,2.648,0.0547,85.4564,28.9987,124.0,
276,0.2453,0.97,-0.2732,85.6832,29.0028,124.692,
277,0.2459,2.7195,-0.2732,85.7441,29.0028,124.31,
278,0.2418,1.2912,-0.2732,85.7014,28.9859,124.692,
279,0.2449,2.309,0.0547,85.7102,28.9793,124.31,
280,0.2479,2.6907,0.0547,85.893,28.9949,124.692,
281,0.25,2.6864,0.0547,85.7907,28.9883,124.31,
282,0.2509,0.9472,0.0547,85.7357,28.9886,124.692,
283,0.242,2.6779,0.0547,85.7853,28.9766,123.622,
284,0.241,0.9916,0.0547,85.7665,28.9783,124.385,
285,0.2453,2.4572,0.0547,85.6237,28.9783,124.31,
286,0.2504,2.3531,0.0547,85.7479,28.9739,124.0,
287,0.2484,1.9795,0.0547,85.6781,28.9705,124.0,
288,0.2461,2.7437,0.0547,85.6932,28.9734,125.385,
289,0.2455,2.6221,0.0547,85.6477,28.973,124.0,
290,0.2427,2.2897,0.0547,85.7501,28.9738,124.692,
291,0.2429,2.186,0.3826,85.7801,28.9679,124.31,
292,0.2435,2.3185,0.0547,85.7253,28.9661,124.0,
293,0.2455,2.2099,0.0547,85.6944,28.9661,124.0,
294,0.2462,1.9379,-0.2732,86.0226,28.9648,124.0,
295,0.2423,1.2321,-0.2732,85.8958,28.9644,124.692,
296,0.2404,2.6556,0.3826,85.9164,28.9706,125.0,
297,0.2447,1.9914,0.0547,85.858,28.9749,124.31,
298,0.2448,2.7327,0.0547,85.9757,28.9768,124.692,
299,0.2465,3.085,0.3826,85.975,28.9819,124.31,
300,0.2417,2.4759,-0.6011,85.9494,28.9882,124.692,
301,0.2438,2.5726,0.3826,85.8324,28.9891,124.31,
302,0.247,2.3607,0.3826,85.7521,28.9891,124.692,
303,0.2431,1.8831,0.3826,85.886,29.0078,125.692,
304,0.2438,2.8237,0.0547,85.558,29.0102,125.31,
305,0.2435,2.8921,0.3826,85.6713,29.0152,125.692,
306,0.2464,3.1877,0.0547,85.9619,29.0226,124.622,
307,0.2441,2.9005,1.0385,85.6355,29.0219,124.692,
308,0.2415,3.1857,0.0547,85.9718,29.0233,125.0,
309,0.2431,2.5705,0.0547,85.3791,29.0254,125.0,
310,0.2427,2.8669,0.0547,85.2626,29.0254,124.31,
311,0.246,1.0618,0.0547,85.8451,29.021,124.0,
312,0.2436,1.9714,0.3826,85.4654,29.0267,124.692,
313,0.2434,2.8935,0.0547,85.2363,29.015,124.31,
314,0.2434,2.6313,0.0547,85.8482,29.0199,124.692,
315,0.245,2.5421,0.7106,85.4338,29.0263,124.31,
316,0.2453,1.9033,0.0547,85.2694,29.0192,124.692,
317,0.2486,3.0579,0.0547,85.3914,29.0227,123.622,
318,0.241,1.3893,0.0547,85.1639,29.0153,124.385,
319,0.2474,1.8523,0.0547,85.3779,29.0153,124.31,
320,0.2449,2.7989,0.0547,85.3568,29.0267,125.385,
321,0.2437,2.5277,0.0547,85.3769,29.0233,124.622,
322,0.2433,1.7997,0.0547,85.2209,29.0202,124.692,
323,0.241,2.011,0.3826,85.304,29.0243,124.31,
324,0.2449,2.0851,0.0547,85.3805,29.0306,124.692,
325,0.2431,2.755,0.0547,85.1357,29.0306,125.0,
326,0.2478,2.8732,0.3826,85.3851,29.0407,124.31,
327,0.2476,1.2535,0.0547,85.2756,29.0444,124.692,
328,0.2453,2.1402,0.3826,85.2961,29.0421,123.692,
329,0.2423,1.1612,-0.2732,85.3765,29.0464,124.692,
330,0.2424,2.4987,-0.2732,85.4275,29.0514,125.0,
331,0.242,2.8794,-0.2732,85.2347,29.0597,124.31,
332,0.2441,2.112,0.0547,85.2909,29.0549,123.31,
333,0.2505,2.2457,0.0547,85.3233,29.0388,123.692,
334,0.2478,2.1752,0.0547,85.3596,29.0388,123.31,
335,0.246,2.1382,-0.2732,85.4017,29.0568,124.385,
336,0.2469,3.2101,0.0547,85.4045,29.0351,125.0,
337,0.2474,2.1679,-0.2732,85.3263,29.0527,124.31,
338,0.2458,2.2792,-0.2732,85.2533,29.0466,124.0,
339,0.2456,1.2741,0.0547,85.1462,29.0317,124.0,
340,0.2442,2.9528,0.0547,85.2103,29.0345,124.0,
341,0.2432,2.62,0.0547,85.3798,29.0345,124.0,
342,0.2434,1.3598,0.3826,85.2711,29.0335,123.31,
343,0.2471,3.0318,0.3826,85.2799,29.0291,124.385,
344,0.2419,2.738,0.3826,85.2364,29.0129,124.31,
345,0.2398,2.7432,0.3826,85.2418,29.0137,124.0,
346,0.2423,2.6694,0.3826,85.1436,29.0121,124.692,
347,0.2439,2.1069,0.0547,85.3453,29.0121,123.622,
348,0.2455,2.6482,0.0547,85.1927,28.9936,125.0,
349,0.245,3.0049,0.0547,85.5317,28.9972,124.31,
350,0.2466,2.2975,0.0547,85.6967,28.9972,124.692,
351,0.2434,2.6395,-0.6011,85.306,28.9979,124.31,
352,0.2461,2.6389,0.0547,85.6225,28.9986,124.692,
353,0.2485,2.7306,0.0547,85.1671,28.9999,124.31,
354,0.2413,3.1515,0.3826,85.3701,28.9932,124.692,
355,0.2464,2.807,-0.2732,85.1648,28.9935,124.31,
356,0.2459,2.9154,0.3826,85.668,29.0064,125.385,
357,0.2494,2.9509,0.3826,85.5873,28.9999,125.31,
358,0.244,2.9665,0.3826,85.7928,29.0006,125.0,
359,0.2392,2.631,0.3826,85.8184,29.0006,125.0,
360,0.2434,2.8276,0.0547,85.826,28.9974,125.0,
361,0.2434,2.6458,0.3826,85.6148,28.9974,125.692,
362,0.2432,2.27,-0.2732,85.8474,29.0087,125.31,
363,0.2427,2.5929,0.0547,85.743,28.9972,124.31,
364,0.2422,3.1283,0.0547,85.7319,29.0064,124.692,
365,0.2481,2.2335,0.0547,85.7418,28.9973,124.31,
366,0.2447,2.5255,0.7106,85.9078,29.0005,125.0,
367,0.2435,2.7811,0.7106,85.9492,29.0005,124.31,
368,0.2424,2.861,-0.2732,85.9028,28.9891,124.692,
369,0.2474,3.1752,0.0547,85.9279,28.9873,124.31,
370,0.2455,2.2695,0.3826,85.8445,28.983,124.692,
371,0.2437,2.1143,0.0547,85.7453,28.9854,124.31,
372,0.2421,2.8214,0.3826,85.8359,28.9837,125.385,
373,0.2426,2.2742,0.3826,85.7309,28.9753,125.31,
374,0.2439,2.7926,0.0547,85.7203,28.9702,125.692,
375,0.2434,2.5593,0.0547,85.8878,28.9737,124.622,
376,0.2401,2.0052,0.0547,85.7884,28.9737,124.0,
377,0.2451,2.1627,0.7106,85.8712,28.9749,124.692,
378,0.2446,2.8235,0.3826,85.8451,28.9644,125.0,
379,0.2492,2.5163,0.0547,85.9419,28.963,125.0,
380,0.2463,2.2604,0.0547,85.7194,28.9594,125.0,
381,0.2464,1.1865,0.0547,86.0839,28.9634,125.31,
382,0.2453,2.1682,0.0547,85.9261,28.9589,125.0,
383,0.2464,2.2534,0.0547,85.8751,28.9504,125.0,
384,0.2476,2.171,0.0547,86.0252,28.9504,125.0,
385,0.241,3.0454,0.0547,85.8809,28.9583,125.692,
386,0.2471,2.5285,0.0547,86.0505,28.9505,125.31,
387,0.2439,2.4434,0.0547,85.9215,28.9497,125.0,
388,0.2445,2.9137,0.0547,86.0228,28.9497,124.31,
389,0.244,2.5866,-0.2732,85.5497,28.9416,124.692,
390,0.2434,2.8294,0.0547,85.8866,28.9527,125.692,
391,0.2434,2.8078,0.0547,85.966,28.9483,125.31,
392,0.2443,2.6414,0.0547,85.8492,28.9534,125.692,
393,0.244,1.2777,0.0547,86.1273,28.9478,124.622,
394,0.2464,2.4514,0.3826,86.0498,28.9475,123.31,
395,0.245,2.7914,0.0547,86.1425,28.9546,123.0,
396,0.2432,2.7515,0.0547,85.8525,28.9466,124.692,
397,0.2446,2.8102,0.0547,86.1822,28.9466,124.31,
398,0.2443,2.6931,0.0547,85.9683,28.9587,124.692,
399,0.2413,2.5828,0.3826,85.3486,28.9604,124.31,
400,0.2455,2.7166,0.0547,85.3664,28.9559,124.0,
401,0.2449,2.7015,0.0547,85.9701,28.9519,124.692,
402,0.2439,2.9972,0.0547,85.2626,28.9594,125.0,
403,0.2435,1.439,0.7106,85.3652,28.9545,125.0,
404,0.2423,2.6833,0.7106,85.3793,28.9545,125.0,
405,0.2435,2.0788,0.3826,85.3543,28.9562,124.31,
406,0.2446,2.0544,0.0547,85.3583,28.9601,125.385,
407,0.2442,1.9446,0.0547,85.3565,28.9707,125.31,
408,0.2426,2.6495,0.0547,85.4196,28.9574,125.692,
409,0.2443,1.291,0.3826,85.3815,28.9689,126.0,
410,0.2449,2.7795,0.0547,85.5195,28.9644,125.31,
411,0.2466,1.2916,0.0547,85.3606,28.9644,125.0,
412,0.2444,1.9641,0.3826,85.5204,28.9709,125.0,
413,0.2427,1.9728,0.0547,85.5069,28.981,125.692,
414,0.2451,2.0183,0.0547,85.3578,28.9721,125.31,
415,0.2435,1.8771,0.0547,85.4854,28.9783,126.0,
416,0.2427,1.0605,0.3826,85.1039,28.9748,126.0,
417,0.2407,2.6713,0.3826,85.4655,28.9674,126.0,
418,0.2484,2.307,-0.2732,85.2339,28.972,124.622,
419,0.2447,2.6616,0.0547,85.3605,28.9814,125.385,
420,0.2439,2.4785,0.0547,85.4021,28.9814,124.622,
421,0.2414,2.4142,0.0547,85.2287,28.9729,124.0,
422,0.244,2.1019,0.3826,85.1989,28.9738,124.692,
423,0.2458,2.3123,0.0547,85.4532,28.9757,124.31,
424,0.2421,2.7018,0.0547,85.1898,28.9724,125.385,
425,0.2473,2.6797,0.0547,85.161,28.9702,124.622,
426,0.2411,2.3816,0.3826,85.2268,28.9746,124.0,
427,0.2406,2.2935,0.3826,85.3793,28.9746,124.692,
428,0.2472,2.6655,0.3826,85.274,28.974,125.0,
429,0.2437,2.6717,-0.2732,85.5361,28.9728,124.31,
430,0.2433,2.8804,-0.2732,85.8082,28.9829,124.692,
431,0.2438,2.8093,0.0547,85.3841,28.9885,124.31,
